Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16100305 3186,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Ancillary,COU,2006/07,11/10/2004,DDDC,1
16400919 8336,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Ancillary,COU,2007/08,08/12/2004,MBC,1
16180817 3015,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Ancillary,COU,2008/09,20/11/2002,MBC,1
16060724 5545,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Ancillary,COU,1994/95,30/10/1989,DDDC,1
16140804 3568,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Ancillary,COU,1999/00,31/10/1995,DDDC,1
16421103 1937,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Ancillary,COU,2007/08,05/02/2003,SMDC,1
16550324 0458,Ible,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Ancillary,COU,2005/06,10/12/2002,DDDC,1
16731016 3857,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Ancillary,COU,2008/09,23/12/2003,MBC,1
16960311 1700,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Ancillary,COU,2008/09,16/12/1996,DDDC,1
16760619 6140,Holme Valley,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Ancillary,COU,2010/11,26/08/2005,KMBC,1
16220821 1041,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Ancillary,COU,1992/93,02/10/1990,SMDC,1
16921121 7501,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Ancillary,COU,2005/06,24/02/2005,DDDC,1
16880616 4771,Ible,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Ancillary,COU,2008/09,30/05/2007,DDDC,1
16100706 1979,Aston,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Ancillary,COU,2004/05,12/04/2000,HPBC,1
16300808 0016,Heathylee,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Ancillary,COU,1995/96,12/05/1995,SMDC,1
16771115 6021,Butterton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Ancillary,COU,1996/97,29/08/1990,SMDC,1
16081115 6488,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Ancillary,COU,2010/11,21/10/2004,SMDC,1
16980115 0815,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Ancillary,COU,2010/11,31/03/2005,DDDC,2
16321126 1551,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Ancillary,COU,2004/05,05/02/2003,DDDC,4
16030428 2304,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Ancillary,COU,1991/92,18/06/1991,SMDC,1
16200226 9476,Little Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Ancillary,COU,1992/93,10/06/1991,DDDC,1
16320126 0282,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Ancillary,COU,1995/96,17/11/1993,HPBC,1
16110220 8921,Heathylee,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Ancillary,COU,2008/09,21/08/2006,SMDC,1
16751013 0979,Holmesfield,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Ancillary,COU,2009/10,24/11/2008,NEDDC,1
16671129 0657,Outseats,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Ancillary,COU,2008/09,22/10/2004,DDDC,1
16190225 0107,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Ancillary,COU,2000/01,10/10/2000,HPBC,1
16091015 8013,Wormhill,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Ancillary,COU,2008/09,24/11/2008,HPBC,1
16560112 4919,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Ancillary,COU,1995/96,28/11/1995,DDDC,1
16380207 3787,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Ancillary,COU,2006/07,09/04/2002,DDDC,1
16011120 5506,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Ancillary,COU,2008/09,18/07/2007,DDDC,1
16120128 3437,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Ancillary,COU,2004/05,05/08/2002,SCC,1
16010815 9542,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Ancillary,COU,1998/99,01/12/1998,MBC,1
16440708 5325,Sheen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Ancillary,COU,1991/92,18/06/1991,SMDC,1
16210102 9045,Hathersage,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Ancillary,COU,1995/96,11/04/1994,DDDC,1
16710922 0314,Gratton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Ancillary,COU,2006/07,15/01/2007,DDDC,-2
16030519 3419,Parwich,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Ancillary,COU,2008/09,18/07/2007,DDDC,1
16900606 9745,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Ancillary,COU,2007/08,21/08/2002,SCC,1
16600516 2703,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Ancillary,COU,2003/04,09/08/2002,DDDC,1
16840612 6493,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Ancillary,COU,1994/95,18/09/1990,DDDC,1
16110818 7970,Thorpe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Ancillary,COU,1992/93,18/12/1990,DDDC,1
16240602 1572,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Ancillary,COU,2003/04,22/07/2003,DDDC,1
16350922 6472,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Ancillary,COU,2006/07,27/07/2005,DDDC,1
16690420 1008,Heathylee,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Ancillary,COU,2006/07,04/10/2006,SMDC,1
16921122 4754,Eyam,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Ancillary,COU,2010/11,20/10/2006,DDDC,1
16900212 4528,Chatsworth,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Ancillary,COU,2010/11,08/10/2008,DDDC,1
16730424 1354,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Ancillary,COU,1999/00,20/10/1997,DDDC,1
16280212 5662,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Ancillary,COU,1996/97,28/11/1995,DDDC,1
16451213 5981,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Ancillary,COU,1999/00,09/12/1996,DDDC,1
16800617 9322,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Ancillary,COU,2006/07,24/01/2005,DDDC,1
16411104 0921,Blore With Swinscoe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Ancillary,COU,1992/93,12/06/1990,SMDC,1
16460803 2563,Brassington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Ancillary,COU,1996/97,13/11/1995,DDDC,1
16780423 3448,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Ancillary,COU,2008/09,14/09/2007,DDDC,1
16401229 2787,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Ancillary,COU,2004/05,11/04/2000,DDDC,1
16791008 2648,Gratton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Ancillary,COU,2005/06,26/10/2005,DDDC,2
16310816 1765,Hathersage,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Ancillary,COU,1993/94,30/04/1991,DDDC,1
16180117 2618,Curbar,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Ancillary,COU,1991/92,09/04/1991,DDDC,1
16200711 2358,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Ancillary,COU,1994/95,21/10/1994,HPBC,1
16650306 5184,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Ancillary,COU,2006/07,13/07/2006,DDDC,-1
16460622 8189,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Ancillary,COU,2010/11,19/05/2010,DDDC,-1
16720501 6269,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Ancillary,COU,2011/12,16/01/2012,DDDC,1
16220124 7513,Wheston,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Ancillary,COU,2011/12,25/03/2010,DDDC,1
16500503 7667,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Ancillary,COU,2011/12,08/06/2010,DDDC,-1
16180517 4156,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Ancillary,COU,2011/12,10/10/2002,DDDC,1
16760304 3873,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Ancillary,COU,2011/12,08/10/2007,HPBC,1
16710620 3065,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Ancillary,CON,2005/06,07/04/1999,SMDC,1
16821018 8119,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Ancillary,CON,2005/06,07/04/1999,SMDC,-1
16790703 2408,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Ancillary,CON,2005/06,10/05/2005,DDDC,1
16250114 7488,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Ancillary,CON,2008/09,23/08/2005,HPBC,1
16071012 4843,Hathersage,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Ancillary,CON,1996/97,17/02/1995,DDDC,1
16900920 2244,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Ancillary,CON,2005/06,18/08/2004,DDDC,1
16120130 4563,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Ancillary,CON,2008/09,15/08/2007,DDDC,1
16190327 9824,Little Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Ancillary,CON,2004/05,18/07/2000,DDDC,1
16111123 9404,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Ancillary,CON,1999/00,23/11/1998,DDDC,1
16441212 1289,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Ancillary,CON,2000/01,09/09/1997,SMDC,1
16291006 3706,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Ancillary,CON,1992/93,04/03/1992,DDDC,1
16530103 5704,Tintwistle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Ancillary,NEW,2010/11,21/10/2008,DDDC,-1
16910803 7210,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Ancillary,NEW,2003/04,05/08/2002,DDDC,1
16250524 6229,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Ancillary,NEW,2006/07,18/04/2006,DDDC,1
16580210 8844,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Ancillary,NEW,2007/08,16/08/2005,MBC,1
16720130 0980,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Ancillary,NEW,2007/08,25/07/2006,DDDC,1
16640330 9559,Taddington,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Ancillary,NEW,2005/06,04/08/2004,DDDC,1
16930715 8775,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Ancillary,NEW,2008/09,12/01/2009,DDDC,1
16311207 6645,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Ancillary,NEW,2008/09,22/11/2004,DDDC,1
16271014 4326,Butterton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Ancillary,NEW,1999/00,28/01/1998,SMDC,1
16801106 4246,Curbar,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Ancillary,NEW,2008/09,26/06/2007,DDDC,1
16251227 2184,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Ancillary,NEW,1997/98,01/02/1996,DDDC,1
16180116 7121,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Ancillary,NEW,1991/92,25/07/1990,DDDC,1
16771119 6951,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Ancillary,NEW,1999/00,24/03/1994,DDDC,1
16461029 4599,Thornhill,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Ancillary,NEW,2011/12,07/04/2005,HPBC,1
16170307 8228,Birchover,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Ancillary,NEW,2011/12,10/10/2007,DDDC,1
16361022 1099,Stanton,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Ancillary,NEW,2011/12,12/07/2007,DDDC,1
16120813 9954,Abney Grange,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Ancillary,VAR,2000/01,09/03/2001,DDDC,-1
16770914 9301,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Ancillary,VAR,2006/07,13/04/2006,DDDC,-1
16550214 5476,Holmesfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Ancillary,VAR,2008/09,04/12/2008,NEDDC,-1
16060827 3405,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Ancillary,VAR,2008/09,16/05/2008,DDDC,-1
16691111 9003,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Ancillary,VAR,2003/04,09/06/2003,DDDC,-1
16560105 0684,Little Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Ancillary,VAR,1997/98,16/10/1997,DDDC,-1
16490808 8596,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Ancillary,VAR,2000/01,04/10/2001,DDDC,-1
16241104 5665,Kettleshulme,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Ancillary,VAR,2002/03,06/11/2002,MBC,-1
16730127 4267,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Ancillary,VAR,2006/07,06/12/2006,DDDC,-1
16100305 3186,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Ancillary,VAR,2005/06,11/01/2006,DDDC,-1
16400919 8336,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Ancillary,VAR,2006/07,20/12/2006,DDDC,-1
16180817 3015,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Ancillary,VAR,1999/00,24/12/1996,DDDC,-1
16060724 5545,Calver,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Ancillary,VAR,2004/05,12/02/2003,DDDC,-1
16140804 3568,Rowsley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Ancillary,VAR,2008/09,12/02/2009,DDDC,-1
16421103 1937,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Ancillary,VAR,2010/11,30/01/2009,HPBC,1
16550324 0458,King Sterndale,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Ancillary,VAR,1992/93,11/09/1992,HPBC,1
16731016 3857,Heaton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Ancillary,VAR,1999/00,15/12/1999,SMDC,1
16960311 1700,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Ancillary,VAR,1998/99,18/09/1998,DDDC,1
16760619 6140,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Ancillary,VAR,1999/00,15/06/1999,DDDC,2
16220821 1041,Sheen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Ancillary,LDCE,2000/01,19/04/2000,SMDC,-1
16921121 7501,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Ancillary,LDCE,2005/06,12/05/2005,HPBC,-1
16880616 4771,Hope,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Holiday,COU,2003/04,06/05/2003,HPBC,-3
16100706 1979,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Holiday,COU,2008/09,24/05/2006,DDDC,1
16300808 0016,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Holiday,COU,2010/11,14/05/2008,DDDC,1
16771115 6021,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Holiday,COU,2005/06,15/06/2004,DDDC,1
16081115 6488,Holme Valley,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Holiday,COU,2006/07,26/08/2005,KMBC,1
16980115 0815,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Holiday,COU,2008/09,22/02/2007,DDDC,1
16321126 1551,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Holiday,COU,2004/05,07/07/2003,DDDC,1
16030428 2304,Fawfieldhead,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Holiday,COU,2005/06,27/07/2004,SMDC,1
16200226 9476,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Holiday,COU,2008/09,30/06/2005,HPBC,1
16320126 0282,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Holiday,COU,2007/08,31/07/2003,SMDC,1
16110220 8921,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Holiday,COU,2008/09,08/02/2007,DDDC,1
16751013 0979,Ilam,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Holiday,COU,2007/08,16/08/2006,SMDC,1
16671129 0657,Grindon,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Holiday,COU,1998/99,04/08/1998,SMDC,1
16190225 0107,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Holiday,COU,2005/06,04/09/2003,SMDC,1
16091015 8013,Beeley,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Holiday,COU,2005/06,11/10/2004,DDDC,1
16560112 4919,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Holiday,COU,2009/10,09/10/2008,DDDC,1
16380207 3787,Hassop,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Holiday,COU,2008/09,28/11/2004,DDDC,1
16011120 5506,Grindlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Holiday,COU,2007/08,04/03/2008,DDDC,1
16120128 3437,Eaton & Alsop,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Holiday,COU,2008/09,07/11/2005,DDDC,1
16010815 9542,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Holiday,COU,2008/09,09/12/2008,HPBC,1
16440708 5325,Brough & Shatton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Holiday,COU,2008/09,27/05/2005,HPBC,1
16210102 9045,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Holiday,COU,2008/09,13/01/2006,DDDC,1
16710922 0314,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Holiday,COU,2008/09,20/02/2007,DDDC,1
16030519 3419,Taddington,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Holiday,COU,2005/06,24/03/2005,DDDC,2
16900606 9745,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Holiday,COU,2004/05,11/05/2001,DDDC,2
16600516 2703,Heaton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Holiday,COU,2005/06,29/03/2004,SMDC,2
16840612 6493,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Holiday,COU,2005/06,21/04/2004,DDDC,2
16110818 7970,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Holiday,COU,2007/08,22/05/2006,SMDC,2
16240602 1572,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Holiday,COU,2008/09,22/06/2006,DDDC,2
16350922 6472,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Holiday,COU,2008/09,16/07/2003,SMDC,1
16690420 1008,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Holiday,COU,2008/09,29/07/2004,DDDC,2
16921122 4754,Hope,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Holiday,COU,2009/10,31/10/2008,HPBC,2
